Id	Label	Color
0	Sam Houston St.	7
1	E. Washington	8
2	Abil Chr.	7
3	Georgia State	1
4	Texas A&M	1
5	South Carolina	1
6	E. Illinois	9
7	Minnesota	4
8	Presbyterian	0
9	Northern Illinois	4
10	Missouri St.	8
11	Northwestern St.	7
12	Bryant	11
13	Stony Brook	11
14	Wake Forest	1
15	La.-Monroe	1
16	Chattanooga	0
17	C. Michigan	4
18	Howard	10
19	Akron	4
20	Charlotte	0
21	Campbell	2
22	Reinhardt	0
23	Mercer	0
24	E. Kentucky	9
25	Robert Morris	11
26	Point U	0
27	Charleston So.	0
28	Missouri Baptist	2
29	SE Missouri St.	9
30	Idaho State	8
31	Utah	3
32	Valparaiso	2
33	W. Illinois	8
34	Boise St.	3
35	Ole Miss	1
36	Kentucky Chr.	9
37	Tenn. Tech	9
38	Taylor	2
39	S. Illinois	8
40	Tulane	4
41	Tulsa	4
42	Cal-Poly	8
43	New Mexico St.	1
44	Union College (KY)	9
45	Murray St.	9
46	North Dakota	8
47	San Jose St.	3
48	Rutgers	4
49	Washington St.	3
50	Weber St.	8
51	Arizona St.	3
52	Temple	4
53	Vanderbilt	1
54	BYU	3
55	Connecticut	4
56	Villanova	11
57	Syracuse	4
58	Jacksonville St.	9
59	Michigan St.	4
60	Bowling Green	4
61	W. Kentucky	1
62	Colorado St.	3
63	Colorado	3
64	Texas-San Antonio	12
65	Houston	4
66	UNLV	3
67	Arizona	3
68	Penn St.	4
69	UCF	4
70	UCLA	3
71	Virginia	4
72	Delaware	11
73	Pittsburgh	4
74	W. Michigan	4
75	Purdue	4
76	Wagner	11
77	Georgetown	5
78	N. Iowa	8
79	Iowa	4
80	Ohio St.	4
81	Navy	4
82	Troy	1
83	UAB	1
84	Appalachian St.	1
85	Michigan	4
86	UT Martin	9
87	Kentucky	1
88	N. Dakota St.	8
89	Iowa St.	12
90	Youngstown St.	8
91	Illinois	4
92	Indiana St.	8
93	Indiana	4
94	Wofford	0
95	Georgia Tech	4
96	Ga. Southern	1
97	N. Carolina St.	1
98	Delaware St.	10
99	Monmouth	11
100	Colgate	5
101	Ball St.	4
102	Nicholls St.	7
103	Air Force	3
104	So. Utah	8
105	Nevada	3
106	Boston College	4
107	Massachusetts	4
108	California	3
109	Northwestern	4
110	FAU	1
111	Nebraska	4
112	Hampton	10
113	Old Dominion	1
114	South Dakota St.	8
115	Missouri	1
116	Marshall	1
117	Miami (Ohio)	4
118	James Madison	11
119	Maryland	4
120	Rice	1
121	Notre Dame	4
122	Duquesne	11
123	Buffalo	4
124	West Virginia	12
125	Alabama	1
126	UC-Davis	8
127	Stanford	3
128	Portland St.	8
129	Oregon St.	3
130	William & Mary	11
131	Virginia Tech	4
132	Arkansas	1
133	Auburn	1
134	Montana	8
135	Wyoming	3
136	Virginia-Lynchburg	6
137	Alcorn St.	6
138	Faith U.	6
139	Mississippi Valley St.	6
140	S.C. State	10
141	Benedict	10
142	Clemson	1
143	Georgia	1
144	Elon	11
145	Duke	4
146	VMI	0
147	Bucknell	5
148	Coastal Carolina	0
149	The Citadel	0
150	Liberty	0
151	North Carolina	4
152	Morgan St.	10
153	E. Michigan	4
154	Holy Cross	5
155	Albany	11
156	Central Conn. St.	11
157	Towson	11
158	Ohio	4
159	Kent St.	4
160	Morehead St.	2
161	Richmond	11
162	Norfolk St.	10
163	Maine	11
164	Marist	2
165	Sacred Heart	11
166	St. Francis	11
167	Fordham	5
168	Samford	0
169	TCU	12
170	Southern	6
171	UL Lafayette	1
172	Austin Peay	9
173	Memphis	4
174	Stetson	2
175	Warner	0
176	Louisiana Tech	1
177	Oklahoma	12
178	Montana St.	8
179	Arkansas St.	1
180	Sacramento St.	8
181	Incarnate Word	7
